iteration,j,mu,sigma_2
5,4,-0.0138702086442789,4.23529002536946e-05
5,5,0.00374720394637119,4.31657143071791e-05
5,6,0.00862713843104053,6.76219232833486e-05
5,7,0.0125061230732375,5.22273698955386e-05
5,8,0.0038539185295151,8.25071772013138e-05
5,9,0.0273594852094404,8.24039782720241e-05
5,10,-0.0194661229791754,6.35433591551547e-05
5,11,-0.00512445915609274,7.2679647069195e-05
5,12,-0.00635820540412664,0.000171654914350324
5,13,0.00113808707683888,4.58067842075949e-05
5,14,0.0158243307971079,0.000103087275674018
5,15,0.0595229400688124,4.06497730137477e-05
5,16,-0.0365019149087341,0.00024280634112676
5,17,0.0206943825167911,9.98578668038555e-05
5,18,0.00172729114784584,7.40880659242025e-05
5,19,-0.0515019684397665,0.000107126746032266
5,20,0.00295806286038392,8.49867790539873e-05
5,21,0.0302400996028837,7.64385197711212e-05
5,22,-0.0514754997731539,2.83288510369703e-05
5,23,0.0278723866832479,8.57696609888992e-05
5,24,-0.0395185083349194,5.4311713205738e-05
5,25,0.00674696547139384,5.14579823708041e-05
5,26,0.00660334810580001,9.29178890912562e-05
5,27,0.0310988703047254,4.60520416089395e-05
5,28,-0.0670723626392451,7.29295535750841e-05
5,29,0.0747325954416343,5.21282858227808e-05
5,30,-0.0718442243992711,4.63457250516097e-05
5,31,0.117211819451376,7.84667991252456e-05
5,32,-0.128750404285078,9.78505906962797e-05
5,33,0.0208123452387241,0.000166255296337872
5,34,-0.0778920903629415,5.77498530002752e-05
5,35,0.0571936505847736,0.000160702712050026
5,36,-0.0778544482632694,6.40521922445056e-05
5,37,0.0119640985486317,9.22303192755175e-05
5,38,-0.11062634718282,4.27134455539148e-05
5,39,0.0406485371675344,7.03549776512343e-05
5,40,-0.0228155217972321,8.97523231082494e-05
5,41,-4.04421116557179,0.00668973168440716
6,1,-0.00126504974698685,9.14259095383693e-06
6,2,-0.0106031845396,0.000121319108241502
6,3,-0.0469654490397673,0.000304765737516536
6,4,-0.0369047048843626,0.000436438555354536
6,5,0.027482308486632,9.71111631769896e-05
6,6,0.0103181945486247,0.000332276991234158
