"iteration","j","mu","sigma_2"
3,39,0.00293799320920664,0.00132424320186659
3,40,-0.0380654379738622,0.00216173487439067
3,41,-4.09007976367585,0.0240359804122819
4,1,0.000934833180346498,2.56783787837958e-05
4,2,0.0050808550389796,0.00134189025917663
4,3,-0.0173280252969335,0.0015219462682517
4,4,0.0236481493793074,0.00176946600633394
4,5,-0.00617697113466448,0.00127202168043059
4,6,-0.00423369145619503,0.00142556112178439
4,7,0.0154094190940877,0.00154326347495984
4,8,-0.00368026930397718,0.00123254189898367
4,9,-0.00337940993278327,0.00127810609125318
4,10,0.00506770433981212,0.00124649991216665
4,11,0.00502624193322242,0.00139176264566785
4,12,-0.0114357290461877,0.0013867157993118
4,13,0.00904409194343381,0.00131823748517479
4,14,-0.000443415674897733,0.00125845941428251
4,15,0.00755613151696522,0.00124219858938946
4,16,-0.00958971652396046,0.00139536796849653
4,17,0.0241796274358943,0.00174544828776165
4,18,-0.0045859306062404,0.00104565744662031
4,19,-0.0335516274593652,0.00185581734766045
4,20,-0.0201671695209221,0.00141996028290526
4,21,0.0378273559806517,0.00204227664113112
4,22,-0.00464713375975251,0.00120474317544049
4,23,0.0387077300589025,0.00210951429314004
4,24,0.00059175322469245,0.00123682306852262
4,25,0.00612000694502465,0.00135346348820052
4,26,0.0142458369137356,0.00142625143499636
4,27,0.0197112745583992,0.00159818538552018
4,28,-0.00439796896414962,0.00128005268701947
4,29,-0.0378002653407384,0.00226575824298325
4,30,-0.00732372149237141,0.00126037766120759
4,31,0.0820934871579564,0.0038621050592989
4,32,-0.0355572855734214,0.00197476241849968
4,33,0.031375332707662,0.00202108228718389
4,34,-0.0297135924057909,0.00182808988553588
4,35,0.0258386725569509,0.00164740133263766
4,36,-0.0173975669864416,0.00148025474825488
4,37,-0.000840301935711151,0.00132343027531793
4,38,0.0243451112904383,0.00145424763501218
4,39,0.0269064338450996,0.00187503853119208
4,40,-0.035655243419647,0.00212613564082058
4,41,-4.07091408999226,0.0239669433176224
5,1,0.00508972645859306,1.71818684316483e-05
5,2,-0.041655262581057,0.0017493865069597
5,3,0.0200105516563907,0.0011451512814139
5,4,0.00500697947971075,0.000863293866360702
5,5,-0.00677403343438954,0.0008926473681675
5,6,-0.00519499568612897,0.000761167796412751
5,7,0.00553158214599405,0.000864786681723052
